52.662816;28.897342;АЦ-40(130)63Б;2019-06-24;5856ГСО
52.662816;28.897342;Geely ATLAS;2019-06-24;3071IT-3
52.662816;28.897342;ВАЗ-21214;2019-06-24;4351ЕН-3
52.662816;28.897342;Geely SC-7;2019-06-24;2165IC-3
52.662816;28.897342;АД48С-Т400-2РП (ДГ-60);2019-06-24;б/н
53.948759;29.620997;АЦ3,0-40(131);2019-06-24;АЕ9909-6
54.077147;29.917894;АЦ10,0-40(6317);2019-06-24;AI1893-6
53.864154;29.723983;АЦ40(131)137A;2019-06-24;ТЕ5399
52.126368;28.491663;АЦ-10,0-40(6317);2019-06-24;АК6696-3
52.126368;28.491663;АЦ-40(131)137А;2019-06-24;AI1131-3
52.126368;28.491663;ПНС-110(131)131;2019-06-24;ЕС2311
53.983862;29.453799;АЦ2,5-40-4(533702);2019-06-24;АА1392-6
52.279014;28.470500;АЦ-40(131)137А;2019-06-24;АМ0445-3
54.009226;31.740831;АЦ 10,0-40(6317);2019-06-24;АЕ6506-6
54.009226;31.740831;АБР 0,6/40(5301ГА);2019-06-24;ТС5248
54.009226;31.740831;АЦ-5,0-50/4(533702);2019-06-24;АА9107-6
52.352141;29.110417;АЦ-40(130)63Б;2019-06-24;1880ГСО
52.122537;28.169073;АЦ-10,0-40(6317);2019-06-24;АК7696-3
52.317215;28.809133;АЦ-8,0-50/4(631705);2019-06-24;АМ0842-3
53.981842;31.292279;АЦ-40(131)137А;2019-06-24;ТЕ0426
52.205360;28.590055;АЦ-40(130)63Б;2019-06-24;AI1135-3
52.182533;28.954720;АЦ-5,0-40/4(5337О2);2019-06-24;АВ8792-3
52.405371;28.560286;АЦ-3,0-40(131);2019-06-24;АК5185-3
54.123264;31.382931;АЦ-3,0-40(131) 003-01;2019-06-24;АЕ2524-6
53.923294;31.834698;АЦ-3,0-40(131);2019-06-24;АЕ6546-6
53.925731;31.476452;АЦ 10,0-40(6317);2019-06-24;АЕ9460-6
55.485796;28.773001;АЦ-5,0-50/4(5337А2);2019-06-24;АЕ4836-2
55.485796;28.773001;АЦ-5,0-50/4(533702);2019-06-24;АЕ0548-2
55.485796;28.773001;Mercedes Sprinter 515CDI;2019-06-24;АВ7721-2
55.485796;28.773001;АБР(30)Мерседес;2019-06-24;6654ВА
55.485796;28.773001;АР-(2)131;2019-06-24;АВ3766-2
55.485796;28.773001;АСА Даймлер Бенц;2019-06-24;ВА6653
55.485796;28.773001;ПНС-(110)131;2019-06-24;АВ5574-2
55.485796;28.773001;АЛ-30(Магирус);2019-06-24;6652ВА
55.124610;27.678030;АЦ-5,0-40(533702);2019-06-24;АВ6543-2
55.124610;27.678030;АПП-4(ГАЗ2705);2019-06-24;АА2934-2
55.124610;27.678030;АЦ-8,0-40(631708);2019-06-24;АЕ9946-2
55.144240;27.963480;АЦ-40(131)137А;2019-06-24;ВЕ6440
55.243019;28.160177;АЦ-3,0-40(131);2019-06-24;АК0298-2
55.033929;29.456518;АЦ 10,0-40(6317);2019-06-24;АК0329-2
55.033929;29.456518;АЦ 5,0-50/4 (5337А2);2019-06-24;АЕ4121-2
55.033929;29.456518;АБР-4(2705);2019-06-24;АА0707-2
55.026660;30.800144;АЦ-10,0-40(6317);2019-06-24;АИ9982
55.026660;30.800144;ПНС-110(131)137А;2019-06-24;АЕ6431-2
55.026660;30.800144;АЦ-40(131)137А;2019-06-24;ВЕ2746
55.614228;29.091495;АЦ-40(131)137А;2019-06-24;ВЕ6350
55.425226;29.085618;АЦ-10,0-40(6317);2019-06-24;АК0617-2
55.322299;28.595329;АЦ-10,0-40(6317);2019-06-24;АК3308-2
55.473687;28.828348;АЦ-40(131)137А;2019-06-24;6756ВА
55.473687;28.828348;АЦ-40(130)63Б;2019-06-24;АВ3769-2
55.409518;28.460075;АЦ-40(131)137А;2019-06-24;ВЕ6439
55.462689;28.730826;АЦ-10,0-40(6317Х9);2019-06-24;АК7129-2
54.915633;30.704196;АЦ-10,0-40(6317);2019-06-24;АК2751-2
55.024350;30.437390;АЦ-40(131)137А;2019-06-24;ВЕ2750
55.225971;29.244961;АЦ-40(131)137А;2019-06-24;ВА3448
55.141680;29.844240;АНР-40(130)127А;2019-06-24;2362МИМ
55.086608;30.633355;АЦ-40(130)63Б;2019-06-24;ВЕ2747
52.717434;30.571687;АЦ-10,0-40(6317);2019-06-24;АК8189-3
52.717434;30.571687;АЦ-5,0-40/4(5337O2);2019-06-24;АВ4678-3
52.717434;30.571687;АД-32С-Т400-2РП;2019-06-24;б/н
52.896944;30.666667;АЦ-6/3-40(5557);2019-06-24;ЕМ9140
52.614167;30.816667;АЦ-10,0-40(6317);2019-06-24;АМ1095-3
52.614167;30.816667;АЦ-3,0-40(131);2019-06-24;АК8128-3
54.505647;30.420796;АЦ-40(131)137А;2019-06-24;ВЕ6297
54.505647;30.420796;АЛ-30(131)ПМ-506В;2019-06-24;7517АВ
54.505647;30.420796;АЦ-11,0-40(6317);2019-06-24;АК8412-2
54.505647;30.420796;АБР-0,6/100(5301);2019-06-24;ВА8360
54.505647;30.420796;ПНС-110(131);2019-06-24;2242МИМ
